epoch,learning_times,real_time,,,,
222,575,0.694450855,,,,
223,478,0.582437277,,,,
224,520,0.634915829,,,,
225,517,0.627119303,,,,
226,515,0.638095856,,,,
227,479,0.580047846,,,,
228,572,0.703582287,,,,
229,589,0.720242262,,,,
230,550,0.671445131,,,,
231,583,0.712769032,,,,
232,763,0.930960894,,,,
233,464,0.56701684,,,,
234,556,0.709887028,,,,
235,540,0.657128096,,,,
236,472,0.580892086,,,,
237,446,0.540169001,,,,
238,565,0.691247225,,,,
239,512,0.624516964,,,,
240,459,0.557968855,,,,
241,563,0.682283878,,,,
242,489,0.672988176,,,,
243,410,0.495942116,,,,
244,486,0.605970144,,,,
245,659,0.795966148,,,,
246,561,0.684759855,,,,
247,560,0.691697121,,,,
248,473,0.580422163,,,,
249,628,0.799162149,,,,
250,569,0.710925817,,,,
251,497,0.611872911,,,,
252,453,0.548725128,,,,
253,573,0.694694996,,,,
254,449,0.550889969,,,,
255,502,0.610825062,,,,
256,611,0.73913908,,,,
257,520,0.629791021,,,,
258,591,0.717278957,,,,
259,551,0.670958042,,,,
260,492,0.599051714,,,,
261,446,0.547491789,,,,
262,570,0.69567585,,,,
263,464,0.567995787,,,,
264,494,0.618456125,,,,
265,453,0.585393906,,,,
266,507,0.617633104,,,,
267,556,0.684301138,,,,
268,554,0.669132948,,,,
269,702,0.858992815,,,,
270,444,0.542578936,,,,
271,517,0.624315739,,,,
272,559,0.679942131,,,,
273,614,0.744561911,,,,
274,623,0.769500732,,,,
275,604,0.728898048,,,,
276,543,0.664529085,,,,
277,471,0.569201231,,,,
278,594,0.720869064,,,,
279,477,0.580924988,,,,
280,495,0.63386488,,,,
281,493,0.597587109,,,,
282,516,0.63173914,,,,
283,589,0.713911772,,,,
284,468,0.572325945,,,,
285,646,0.787394047,,,,
286,492,0.597456932,,,,
287,478,0.577998877,,,,
288,470,0.570238829,,,,
289,770,0.934926987,,,,
290,439,0.533897877,,,,
291,658,0.804563999,,,,
292,615,0.76094985,,,,
293,605,0.738827944,,,,
294,539,0.65437007,,,,
295,620,0.786551952,,,,
296,511,0.626946926,,,,
297,657,0.797647715,,,,
298,517,0.639555931,,,,
299,485,0.592295885,,,,
300,498,0.607101917,,,,
301,482,0.600879192,,,,
302,470,0.571393967,,,,
303,483,0.589814186,,,,
304,572,0.71175909,,,,
305,471,0.572344065,,,,
306,473,0.574116945,,,,
307,529,0.649003744,,,,
308,654,0.796038866,,,,
309,470,0.591408968,,,,
310,548,0.698662043,,,,
311,492,0.598322153,,,,
312,431,0.530346155,,,,
313,525,0.637917995,,,,
314,485,0.597764969,,,,
315,492,0.599243164,,,,
316,484,0.588677168,,,,
317,479,0.581287861,,,,
318,514,0.621719122,,,,
319,478,0.581273079,,,,
320,493,0.600950956,,,,
321,541,0.655320883,,,,
322,471,0.57337904,,,,
323,467,0.569792032,,,,
324,529,0.646434069,,,,
325,551,0.668261766,,,,
326,560,0.675185204,,,,
327,573,0.732685804,,,,
328,564,0.686897993,,,,
329,455,0.550851822,,,,
330,644,0.785915852,,,,
331,638,0.792905092,,,,
332,454,0.55003643,,,,
333,529,0.681216955,,,,
334,528,0.642309904,,,,
335,536,0.668421984,,,,
336,669,0.889766932,,,,
337,662,0.833312035,,,,
338,554,0.671876907,,,,
339,508,0.620954037,,,,
340,565,0.683550119,,,,
341,522,0.667332172,,,,
342,497,0.607237816,,,,
343,492,0.597195864,,,,
344,613,0.743335009,,,,
345,597,0.733185053,,,,
346,495,0.600111723,,,,
347,543,0.66189909,,,,
348,634,0.77020812,,,,
349,484,0.676391125,,,,
350,463,0.583328009,,,,
351,552,0.675603867,,,,
352,515,0.646661997,,,,
353,537,0.658185005,,,,
354,472,0.590300083,,,,
355,544,0.661550999,,,,
356,495,0.641589165,,,,
357,440,0.539953947,,,,
358,597,0.725156069,,,,
359,771,0.936859846,,,,
360,533,0.649166822,,,,
361,631,0.765084982,,,,
362,478,0.582758188,,,,
363,409,0.500595331,,,,
364,650,0.803617954,,,,
365,446,0.548406124,,,,
366,505,0.617432117,,,,
367,534,0.65309906,,,,
368,584,0.709724188,,,,
369,674,0.820045948,,,,
370,505,0.613076925,,,,
371,494,0.637733221,,,,
372,594,0.723594189,,,,
373,616,0.747455835,,,,
374,525,0.641456127,,,,
375,568,0.69037509,,,,
376,583,0.709151983,,,,
377,549,0.665737867,,,,
378,449,0.544164896,,,,
379,529,0.645816803,,,,
380,442,0.53777194,,,,
381,531,0.651492119,,,,
382,520,0.655384064,,,,
383,464,0.591812134,,,,
384,477,0.587244987,,,,
385,542,0.657469034,,,,
386,536,0.650753021,,,,
387,475,0.61679697,,,,
388,488,0.592045069,,,,
389,553,0.675379992,,,,
390,653,0.800555944,,,,
391,448,0.543817997,,,,
392,549,0.671415806,,,,
393,532,0.646219015,,,,
394,688,0.838912964,,,,
395,415,0.556145906,,,,
396,485,0.600818872,,,,
397,536,0.673203945,,,,
398,508,0.627547979,,,,
399,579,0.731387854,,,,
400,535,0.659231901,,,,
401,536,0.666174173,,,,
402,631,0.819684029,,,,
403,675,0.831858158,,,,
404,549,0.676716089,,,,
405,471,0.585817099,,,,
406,583,0.723083019,,,,
407,473,0.580212831,,,,
408,595,0.726466894,,,,
409,557,0.692243814,,,,
410,580,0.713007212,,,,
411,489,0.610116959,,,,
412,545,0.68537879,,,,
413,475,0.592902184,,,,
414,399,0.491139174,,,,
415,442,0.539233923,,,,
416,572,0.702496052,,,,
417,525,0.686504841,,,,
418,503,0.619750023,,,,
419,603,0.745810747,,,,
420,656,0.812207222,,,,
421,507,0.62131834,,,,
422,569,0.6975348,,,,
